spec,heart.out,heart.reg
11AI225,H,H
HK49_1462,N,I
HK49_2,N,I
HK49_3022,N,I
HK49_3823,N,I
HK49_4,N,I
HK49_5928,N,I
HK49_5961,N,I
HK49_7,N,I
KeilMangold3,H,H
KeilMangold10,H,H
KeilMangold13,H,H
KeilMangold14,H,H
KeilMangold17,H,H
KeilMangold24,H,H
KeilMangold42,H,H
KeilMangold64,H,H
KeilMangold68,H,H
KeilMangold8,H,H
KeilMangold90,H,H
Kinzer46,N,P
Kinzer49,N,P
Kinzer50,N,P
Leprechaun11MS1983FSI800-5,H,H
MA1699p1,H,H
MA1699p3,H,H
McL7_168,N,I
McL4_158,N,I
McL4_614,N,I
Nochta11MS128BFSI267-1,H,H
Nochta11MS128BFSIPP2495,H,H
Nochta11MS128BFSIPP3305,H,H
Nochta11MS128bFSIPP1001,H,H
Nochta11MS12BFIS800-168,H,H
ReedVoss2,H,H
TR10_19,N,I
TR10_4,N,I
Welton1,N,P
Welton2,N,P
Welton3,N,P
Welton4,N,P
11HE445,N,P
McL7_101,N,I
OH1_176,N,I
Welton5,N,P
Welton6,N,P
